store_name,store_address,zip_code,store_number
Trader Joe's Agoura Hills (247),"28941 Canwood St, Agoura Hills",91301,247
Trader Joe's Alameda (109),"2217 South Shore Center, Alameda",94501,109
Trader Joe's Aliso Viejo (195),"26541 Aliso Creek Rd, Aliso Viejo",92656,195
Trader Joe's Arroyo Grande (117),"955 Rancho Pkwy, Arroyo Grande",93420,117
Trader Joe's Bakersfield (14),"8200 Stockdale Hwy, Bakersfield",93311,14
Trader Joe's Berkeley (186),"1885 University Ave, Berkeley",94703,186
Trader Joe's Brea (11),"2500 E Imperial Hwy, Brea",92821,11
Trader Joe's Brentwood (201),"5451 Lone Tree Way, Brentwood",94513,201
Trader Joe's Burbank (124),"214 E Alameda Ave, Burbank",91502,124
Trader Joe's Calabasas (254),"23741 Calabasas Rd., Calabasas",91302,254
Trader Joe's Camarillo (114),"363 Carmen Dr, Camarillo",93010,114
Trader Joe's Campbell (73),"1875 Bascom Ave, Campbell",95008,73
Trader Joe's Capitola (64),"3555 Clares St #D, Capitola",95010,64
Trader Joe's Carlsbad (220),"2629 Gateway Rd, Carlsbad",92009,220
Trader Joe's Castro Valley (84),"22224 Redwood Road, Castro Valley",94546,84
Trader Joe's Cathedral City (118),"67720 E Palm Canyon Dr, Cathedral City",92234,118
Trader Joe's Cerritos (104),"12861 Towne Center Dr, Cerritos",90703,104
Trader Joe's Chatsworth (184),"10330 Mason Ave, Chatsworth",91311,184
Trader Joe's Chico (199),"801 East Ave, Chico",95926,199
Trader Joe's Chino Hills (216),"13911 Peyton Drive, Chino Hills",91709,216
Trader Joe's Chula Vista (120),"878 Eastlake Pkwy, Chula Vista",91914,120
Trader Joe's Claremont (214),"475 W Foothill Blvd, Claremont",91711,214
Trader Joe's Clovis (180),"1077 N Willow Ave, Clovis",93611,180
Trader Joe's Concord (60),"1150 Concord Ave, Concord",94520,60
Trader Joe's Concord (83),"785 Oak Grove Rd, Concord",94518,83
Trader Joe's Corona (213),"2790 Cabot Dr, Corona",92883,213
Trader Joe's Costa Mesa (35),"640 W 17th St, Costa Mesa",92627,35
Trader Joe's Culver City (251),"6150 Slauson Ave, Culver City",90230,251
Trader Joe's Culver City (36),"9290 Culver Blvd, Culver City",90232,36
Trader Joe's Cypress (Rossmoor) (242),"5245 Katella Ave., Cypress",90720,242
Trader Joe's Daly City (74),"417 Westlake Center, Daly City",94015,74
Trader Joe's Danville (65),"85 Railroad Ave, Danville",94526,65
Trader Joe's Davis (182),"885 Russell Blvd, Davis",95616,182
Trader Joe's Eagle Rock (55),"1566 Colorado Blvd, Eagle Rock",90041,55
Trader Joe's El Cerrito (108),"225 El Cerrito Plaza, El Cerrito",94530,108
Trader Joe's Elk Grove (190),"9670 Bruceville Road, Elk Grove",95757,190
Trader Joe's Emeryville (72),"5700 Christie Ave, Emeryville",94608,72
Trader Joe's Encinitas (25),"115 N El Camino Real, Encinitas",92024,25
Trader Joe's Encino (56),"17640 Burbank Blvd, Encino",91316,56
Trader Joe's Escondido (105),"1885 S Centre City Pkwy, Escondido",92025,105
Trader Joe's Fairfield (101),"1350 Gateway Blvd, Fairfield",94533,101
Trader Joe's Fair Oaks (71),"5309 Sunrise Blvd, Fair Oaks",95628,71
Trader Joe's Folsom (172),"850 East Bidwell, Folsom",95630,172
Trader Joe's Fremont (77),"39324 Argonaut Way, Fremont",94538,77
Trader Joe's Fresno (8),"8478 N. Friant Road, Fresno",93720,8
Trader Joe's Glendale (53),"103 E Glenoaks Blvd, Glendale",91207,53
Trader Joe's Goleta (110),"5767 Calle Real, Goleta",93117,110
Trader Joe's Granada Hills (44),"11114 Balboa Blvd, Granada Hills",91344,44
Trader Joe's Larkspur (235),"2052 Redwood Hwy, Greenbrae",94904,235
Trader Joe's Hermosa Beach (248),"1100 Pacific Coast Hwy, Hermosa Beach",90254,248
Trader Joe's Huntington Beach (47),"18681 Main St, Huntington Beach",92648,47
Trader Joe's Huntington Beach - Brookhurst (241),"21431 Brookhurst St, Huntington Beach",92646,241
Trader Joe's Huntington Harbour (244),"16821 Algonquin St, Huntington Beach",92649,244
Trader Joe's Irvine - University Ctr (111),"4225 Campus Dr, Irvine",92612,111
Trader Joe's Irvine -  Walnut Village Ctr (37),"14443 Culver Dr, Irvine",92604,37
Trader Joe's Irvine - Woodbury Town Center (210),"6222 Irvine Blvd, Irvine",92620,210
Trader Joe's La Canada (42),"475 Foothill Blvd, La Canada",91011,42
Trader Joe's Lafayette (115),"3649 Mt Diablo Blvd, Lafayette",94549,115
Trader Joe's Laguna Hills (39),"24231 Avenida De La Carlota, Laguna Hills",92653,39
Trader Joe's Laguna Niguel - Ocean Ranch (103),"32351 Street of the Golden Lantern, Laguna Niguel",92677,103
Trader Joe's La Habra,"2101 W. Imperial Hwy, Suite A, La Habra",90631,
Trader Joe's La Jolla (20),"8657 Villa la Jolla Dr, La Jolla",92037,20
Trader Joe's La Mesa (24),"5495 Grossmont Center Dr, La Mesa",91942,24
Trader Joe's La Quinta (189),"46400 Washington St, La Quinta",92253,189
Trader Joe's Livermore (208),"1122 A East Stanley Blvd, Livermore",94550,208
Trader Joe's Long Beach - Bellflower Blvd (194),"2222 North Bellflower Blvd, Long Beach",90815,194
Trader Joe's Long Beach - Bixby Knolls (116),"4210 Long Beach Blvd, Long Beach",90807,116
Trader Joe's Long Beach - Pch (43),"6451 E Pacific Coast  Hwy, Long Beach",90803,43
Trader Joe's Los Altos (127),"2310 Homestead Rd, Los Altos",94024,127
Trader Joe's Hollywood (206),"1600 N Vine St, Los Angeles",90028,206
Trader Joe's Los Angeles (31),"263 S La Brea Ave, Los Angeles",90036,31
Trader Joe's Los Angeles - 3Rd & Fairfax (240),"175 South Fairfax Ave, Los Angeles",90036,3
Trader Joe's Los Angeles - Burton Way (237),"8500 Burton Way, Los Angeles",90048,237
Trader Joe's Olympic Blvd (215),"11755 Olympic Blvd, Los Angeles",90064,215
Trader Joe's Silver Lake (17),"2738 Hyperion Ave, Los Angeles",90027,17
Trader Joe's Sunset Blvd (192),"8000 W Sunset Blvd, Los Angeles",90046,192
Trader Joe's Usc Village (250),"3131 S Hoover Street, Los Angeles",90089,250
Trader Joe's West Los Angeles (7),"10850 National Blvd, Los Angeles",90064,7
Trader Joe's West Los Angeles - Sepulveda (119),"3456 S Sepulveda Blvd, Los Angeles",90034,119
Trader Joe's Westwood (234),"1000 Glendon Ave, Los Angeles",90024,234
Trader Joe's Los Gatos (181),"15466 Los Gatos Blvd, Los Gatos",95032,181
Trader Joe's Manhattan Beach Blvd (34),"1821 Manhattan Beach Blvd, Manhattan Beach",90266,34
Trader Joe's Manhattan Beach - Rosecrans Blvd (106),"1800 Rosecrans Blvd, Manhattan Beach",90266,106
Trader Joe's Marina Del Rey (205),"4675 Admiralty Way, Marina Del Rey",90292,205
Trader Joe's Menlo Park (69),"720 Menlo Ave, Menlo Park",94025,69
Trader Joe's Millbrae (170),"765 Broadway, Millbrae",94030,170
Trader Joe's Milpitas (229),"1306 Great Mall Pkwy, Milpitas",95035,229
Trader Joe's Ladera Ranch (257),"27542 Antonio Pkwy, Mission Viejo",92694,257
Trader Joe's Mission Viejo (126),"25410 Marguerite Pkwy, Mission Viejo",92692,126
Trader Joe's Modesto (9),"3250 Dale Road, Modesto",95356,9
Trader Joe's Monrovia (112),"604 W Huntington Dr, Monrovia",91016,112
Trader Joe's Monterey (204),"570 Munras Ave, Monterey",93940,204
Trader Joe's Montrose (52),"2462 Honolulu Ave, Montrose",91020,52
Trader Joe's Morgan Hill (202),"17035 Laurel Rd, Morgan Hill",95037,202
Trader Joe's Mountain View (81),"590 Showers Dr, Mountain View",94040,81
Trader Joe's Murrieta (258),"40388 Murrieta Hot Springs Rd, Murrieta",92563,258
Trader Joe's Napa (128),"3654 Bel Aire Plaza, Napa",94558,128
Trader Joe's Newport Beach (125),"8086 E Pacific Coast Hwy, Newport Beach",92657,125
Trader Joe's North Hollywood (252),"6130 Laurel Canyon Bl, North Hollywood",91606,252
Trader Joe's Northridge (12),"9224 Reseda Blvd, Northridge",91325,12
Trader Joe's Novato (198),"7514 Redwood Blvd, Novato",94945,198
Trader Joe's Oakland - Lakeshore (203),"3250 Lakeshore Ave, Oakland",94610,203
Trader Joe's Oakland - Rockridge (231),"5727 College Ave, Oakland",94618,231
Trader Joe's Oceanside (22),"2570 Vista Way, Oceanside",92054,22
Trader Joe's Mall Of Orange (46),"2114 N Tustin St, Orange",92865,46
Trader Joe's Pacific Grove (79),"1170 Forest Ave, Pacific Grove",93950,79
Trader Joe's Palmdale (185),"39507 10th St W, Palmdale",93551,185
Trader Joe's Palm Desert (3),"44250 Town Center Way, Palm Desert",92260,3
Trader Joe's Palo Alto (207),"855 El Camino Real, Palo Alto",94301,207
Trader Joe's Hastings Ranch (171),"467 N Rosemead Blvd, Pasadena",91107,171
Trader Joe's Pasadena (51),"610 S Arroyo Pkwy, Pasadena",91105,51
Trader Joe's Pasadena (East) (32),"3035 E Huntington Dr, Pasadena",91107,32
Trader Joe's Pasadena - S Lake Ave (179),"345 S Lake Ave, Pasadena",91101,179
Trader Joe's Petaluma (107),"169 N McDowell Blvd, Petaluma",94954,107
Trader Joe's Pinole (230),"2742 Pinole Valley Rd, Pinole",94564,230
Trader Joe's Pleasanton (66),"3903 Santa Rita Road, Pleasanton",94588,66
Trader Joe's Poway (265),"13644 Poway Rd, Poway",92064,265
Trader Joe's Rancho Cucamonga (217),"6401 Haven Ave, Rancho Cucamonga",91737,217
Trader Joe's Rancho Palos Verdes (233),"31176 Hawthorne Blvd, Rancho Palos Verdes",90275,233
Trader Joe's Rancho Palos Verdes - S. Western Ave. (57),"28901 S Western Ave, Rancho Palos Verdes",90275,57
Trader Joe's Rancho Santa Margarita (27),"30652 Santa Margarita Pkwy, Rancho Santa Margarita",92688,27
Trader Joe's Redding (219),"845 Browning St, Redding",96003,219
Trader Joe's Redlands (99),"552 Orange St, Redlands",92374,99
Trader Joe's Redondo Beach (38),"1761 S Elena Ave, Redondo Bch.",90277,38
Trader Joe's Riverside (15),"6225 Riverside Plaza, Riverside",92506,15
Trader Joe's Rocklin (228),"5116 Commons Dr. #103, Rocklin",95677,228
Trader Joe's Roseville (80),"1117 Roseville Square, Roseville",95678,80
Trader Joe's Sacramento (175),"5000 Folsom Blvd, Sacramento",95819,175
Trader Joe's Sacramento (70),"2625 Marconi Ave, Sacramento",95821,70
Trader Joe's San Carlos (174),"1482 El Camino Real, San Carlos",94070,174
Trader Joe's San Clemente (16),"638 Camino de Los Mares, San Clemente",92673,16
Trader Joe's Del Mar (223 ),"13480 Highlands Place, San Diego",92130,223
Trader Joe's Mission Valley (222),"1072 Camino Del Rio North, San Diego",92108,222
Trader Joe's San Diego - Carmel Mtn Ranch (23),"11955 Carmel Mountain Rd, San Diego",92128,23
Trader Joe's San Diego - Hillcrest (26),"1090 University Avenue, San Diego",92103,26
Trader Joe's San Diego - Pacific Beach (21),"1640 Garnet Ave, San Diego",92109,21
Trader Joe's San Diego - Point Loma (188),"2401 Truxtun Rd, San Diego",92106,188
Trader Joe's San Diego - Sdsu (224),"5140 College Ave, San Diego",92115,224
Trader Joe's Scripps Ranch (221),"9850 Hibert St, San Diego",92131,221
Trader Joe's San Dimas (28),"856 W Arrow Hwy, San Dimas",91773,28
Trader Joe's San Francisco (100),"3 Masonic Ave, San Francisco",94118,100
Trader Joe's San Francisco - 9Th St (78),"555 9th St, San Francisco",94103,9
Trader Joe's San Francisco (Hayes Valley) (226),"555 Fulton St, San Francisco",94102,226
Trader Joe's San Francisco - Nob Hill (200),"1095 Hyde St, San Francisco",94109,200
Trader Joe's San Francisco - North Beach (19),"401 Bay St, San Francisco",94133,19
Trader Joe's San Francisco - Pacific Place (225),"10 4th Street, San Francisco",94103,225
Trader Joe's San Francisco - Stonestown (236),"265 Winston Dr, San Francisco",94132,236
Trader Joe's San Jose - Bollinger (232),"7250 Bollinger Rd, San Jose",95129,232
Trader Joe's San Jose - Coleman Ave (212),"635 Coleman Ave, San Jose",95110,212
Trader Joe's San Jose - Old Almaden (63),"5353 Almaden Expressway #J-38, San Jose",95118,63
Trader Joe's San Jose - Westgate West (62),"5269 Prospect, San Jose",95129,62
Trader Joe's San Juan Capistrano (249),"32151 Camino Capistrano, San Juan Capistrano",92675,249
