coffee_id,coffee_name,zip_code,coffee_address,attributes.business_temp_closed
3gI3JkMZ0YO8Pb07CDyo1Q,Coffee and Chisme,90280,"['8450 State St', 'South Gate, CA 90280']",
fuAL8-5XTZVao9KZyVa84w,Cafe Oaxaca,90002,"['1211 E Century Blvd', 'Los Angeles, CA 90002']",
iC-VRLuzCVGKhLmeIk_WBA,milk+cookies,90280,"['4331 Tweedy Blvd', 'South Gate, CA 90280']",
elu_CU6oNbMzLIiDtNy3ww,Coffee Del Mundo,90044,"['7414 S Vermont Ave', 'Los Angeles, CA 90044']",
FMlrSy0HN9Mj2z9BTKIXfg,TLC Coffee Company,90001,"['Firestone Park, CA 90001']",
tE1w7fVLXJHqDmQs13_Rrg,Daily Drip Coffee,90262,"['3618 Martin Luther King Jr Blvd', 'Lynwood, CA 90262']",
x0cEWLnL0iQWe6lvTwjSAQ,Casa De Cafe,90255,"['7100 Pacific Blvd', 'Huntington Park, CA 90255']",
GpPT4axDihYRillRuEJEGw,Cake And Coffee House,90280,"['3411 Tweedy Blvd', 'Ste D', 'South Gate, CA 90280']",
t2_SYpESmcUozlI0UrIU0A,Cafe Canela,90262,"['3100 E Imperial Hwy', 'Lynwood, CA 90262']",
1daEnLjQwZoIFhUXP9r3Tw,Tierra Mia Coffee,90255,"['6706 Pacific Blvd', 'Huntington Park, CA 90255']",
t6I8vnT6x_LVWdSDXQucgw,RFRM Coffee,90037,"['5606 S Broadway', 'Los Angeles, CA 90037']",
q5z2tkd_39-6gPcXRcOwng,Churros Y Cafe De La Holla,90001,"['1020 E Florence Ave', 'Los Angeles, CA 90001']",
jSu3WWjjR6Jm9Qy4cpdoOA,All Saints Cafe,90262,"['3630 E Imperial Hwy', 'Lynwood, CA 90262']",
bGGC03I3GIviLPq4434fmw,Caffe Kiosk,90003,"['8209 San Pedro St', 'Los Angeles, CA 90003']",
HYhYc92rD7O7iIs7TmXvlg,Cruzita's Deli and Cafe,90255,"['7121 State St', 'Huntington Park, CA 90255']",
ulY53hZjCq0zstiRTp7E1Q,El Cafecito,90270,"['3820 Slauson Ave', 'Ste E', 'Maywood, CA 90270']",
U26db4HG0wWw1sT9mQhwoQ,La Monarca Bakery,90255,"['6365 Pacific Blvd', 'Huntington Park, CA 90255']",
D-K8oNeQaqZu3Xi5Pj1-hQ,Tierra Mia Coffee,90255,"['6915 Santa Fe Ave', 'Huntington Park, CA 90255']",
6B1_cBPngyvLr0kiAkIfvQ,Vivian's Bakery,90262,"['3100 E Imperial Hwy', 'Ste I', 'Lynwood, CA 90262']",
SND9FJA-3IN-Ibxxi_GKBQ,Cafe Sociedad Latina,90255,"['6806 Pacific Blvd', 'Huntington Park, CA 90255']",
Xemrk7fybyiXt9i4-JCSjQ,Awakening,90301,"['231 S La Brea Ave', 'Inglewood, CA 90301']",
7WU_4WoCHnYKU3a_F_H5bQ,Azucanela,90250,"['13307 Inglewood Ave', 'Hawthorne, CA 90250']",
gCuDrOJPUEWDfCfGfrzKDA,Patria Coffee Roasters,90221,"['108 N Alameda St E', 'Compton, CA 90221']",
fGuc9k42812Y5eZc3AyZ_g,Smoking Tiger Coffee & Bread,90249,"['15435 S Western Ave', 'Gardena, CA 90249']",
yNNtnin-2Cv-hFt077oODQ,South LA Cafe,90062,"['1700 Browning Blvd', 'Los Angeles, CA 90062']",
itfQnbflpIktTAEqg3MdTA,Maru Coffee,90021,"['1019 S Santa Fe Ave', 'Los Angeles, CA 90021']",
iSvu86592oA5Ays96iDP2Q,The Breakfast Shack,90047,"['1410 W Florence Ave', 'Los Angeles, CA 90047']",
M-mFk74IbZonk9516Fa5BA,Pruvia Coffee Bar,90247,"['1610 W Redondo Beach Blvd', 'Ste 12B', 'Gardena, CA 90247']",
rJP5wArbYL1SJZ3Tr1mFWw,Jetty Coffee Roasters,90007,"['3220 S Hill St', 'Los Angeles, CA 90007']",
eRuCZSoXwa77fxZSFmbUSA,CAFE/5,90018,"['2025 W Jefferson Blvd', 'Los Angeles, CA 90018']",
uGHIm2xcyKMwVB2c9qmk7g,Sip & Sonder,90301,"['108 S Market St', 'Inglewood, CA 90301']",
4E7EsJwJ1wsiA4RRBJ3wBQ,Yeems Coffee,90020,"['3033 W 6th St', 'Ste 107', 'Los Angeles, CA 90020']",
o1Dvgk04BEgcgeXjRZ4OgQ,Rny Coffee Studio,90020,"['3829 W 6th St', 'Los Angeles, CA 90020']",
Mia81gcJcKvamwpm-3uYkg,DAMO,90005,"['3510 W 8th St', 'Los Angeles, CA 90005']",
gJVz8FmYm0hJLgm6z-WnYg,Coffee Signal,90004,"['207 N Western Ave', 'Los Angeles, CA 90004']",
2vuoW-UozmDJmu2cYQbokA,Cafe Upper,90020,"['300 S Hobart Blvd', 'Ste 101', 'Los Angeles, CA 90020']",
eMCF37Wv_KllyrwM8JU6Kg,The Butter,90004,"['Los Angeles, CA 90004']",
ZxFQnp-PidPRTf23Ss_ecA,Alchemist Coffee Project,90005,"['698 S Vermont Ave', 'Ste 103', 'Los Angeles, CA 90005']",
vKYAeJbQS2JJ6152W5atsQ,Memory Look,90006,"['2881 W Olympic Blvd', 'Los Angeles, CA 90006']",
Cw6LXrhp3RCGnw-04dUyIg,Stereoscope Coffee Company,90038,"['6677 Santa Monica Blvd', 'Ste 104', 'Los Angeles, CA 90038']",
H5LoUb7RQyMJDdNIJmcb4g,Nam Coffee,90029,"['4876 Fountain Ave', 'Los Angeles, CA 90029']",
p74RqQjrsMuxEXGyYDwG3Q,Balcony Coffee And Tea,90004,"['314 N Western Ave', 'Los Angeles, CA 90004']",
dSxf3St-ruvBwjt-p3EQHQ,Obet and Del's Coffee,90027,"['5233 Hollywood Blvd', 'Los Angeles, CA 90027']",
Re-YQCm7QFt-suXx4CSlAw,Document Coffee Bar,90010,"['3850 Wilshire Blvd', 'Ste 107', 'Los Angeles, CA 90010']",
KWuSIrgx9fx2m8JuqknZPA,3THYME Coffee ,90005,"['600 S Harvard Blvd', 'Ste 100', 'Los Angeles, CA 90005']",
GRcex7z3P-uGgdjFqpxYUg,Mad Lab Coffee,90028,"['6515 W Sunset Blvd', 'Los Angeles, CA 90028']",
gnRQ4d8RdMpr0wbhVBjEng,Coffee MCO,90006,"['2580 W Olympic Blvd', 'Los Angeles, CA 90006']",
jFsyRPo3Y4f83vHgqWG5Jg,Coffee For Sasquatch,90038,"['7020 Melrose Ave', 'Los Angeles, CA 90038']",
pviIh7uLtBVzOmWAmbfyxw,Awesome Coffee,90010,"['3959 Wilshire Blvd', 'Ste A21', 'Los Angeles, CA 90010']",
L0QlctHdsHBxPTpKevV0PA,Cafe De Mama,90006,"['1102 S Western Ave', 'Los Angeles, CA 90006']",
DVPiIohTUzMVnYp-r4wt-A,Maru Coffee,90027,"['1936 Hillhurst Ave', 'Los Angeles, CA 90027']",
Vf-1OQtogTWXUnoyjazPgA,Nothing But Coffee,90010,"['3952 Wilshire Blvd', 'Los Angeles, CA 90010']",
lpDHmRmfyEynBOExfW9uNg,6xs Coffee,90020,"['3907 W 6th St', 'Los Angeles, CA 90020']",
YQZma3uwQIUJ9gN1qxtpvw,About Time,90010,"['3287 Wilshire Blvd', 'Ste B', 'Los Angeles, CA 90010']",
P0ehJKlOV0cxL6gR6aOYhA,TPO Coffee,90020,"['537 S Western Ave', 'Los Angeles, CA 90020']",
o_EwVCXB9BB_pxMULoLxeQ,Harucake,90020,"['3450 W 6th St', 'Ste 107', 'Los Angeles, CA 90020']",
96lQueYQER1Nm-l2Lb0SXw,M CAFÉ,90006,"['2789 W Olympic Blvd', 'Ste 201', 'Los Angeles, CA 90006']",
d3zJQJM_cpUt7_fXGqKPdg,Miffies,90015,"['1149 S Hill St', 'Los Angeles, CA 90015']",
z3xjbZAQG8CpBd0Pul_WGQ,Tilt Coffee Bar,90013,"['334 S Main St', 'Kiosk 1', 'Los Angeles, CA 90013']",
R8yyd-ZxPjKhqD1p4ajH5w,Ideology Coffee,90015,"['1115 S Hope St', 'Los Angeles, CA 90015']",
0fvsF6mV5DqyQJb_cc6V3Q,Dulce,90007,"['3096 McClintock Ave', 'Ste 1420', 'Los Angeles, CA 90007']",
8XsXR3C5k1NAXjm2-5VPKw,Alibi Coffee Co.,90006,"['2268 Venice Blvd', 'Los Angeles, CA 90006']",
eBf96d9HOlK41HQd-LabIQ,Virtu Coffee,90015,"['1201 S Hope St', 'Los Angeles, CA 90015']",
NcsZh_zgoCvOApVlJqRh2w,Fear Not Coffee,90015,"['1611 S Hope St', 'Los Angeles, CA 90015']",
-0mw98zl4_wKPdIoEsa-CQ,Andante Coffee Roasters,90017,"['816 S Grand Ave', 'Los Angeles, CA 90017']",
NLMNtxK-CZFY0J4PsHFVrw,Verve Coffee Roasters,90014,"['833 S Spring St', 'Los Angeles, CA 90014']",
M5bYoUIOqrQ9bEEGxQfCSA,Nature's Brew,90007,"['2316 S Union Ave', 'Los Angeles, CA 90007']",
V8ZWL-tJFVvzXhQ-KvAYHw,Aanuko Coffee,90232,"['5790 Washington Blvd', 'House Of Aanuko', 'Culver City, CA 90232']",
qX40Yqzn-Hq-coaMoDjv-Q,The Boy & The Bear,90045,"['7403 La Tijera Blvd', 'Westchester, CA 90045']",
rR1f_EbT3JCHvTfZvQp7Tw,Harun Coffee,90008,"['4336 Degnan Blvd', 'Los Angeles, CA 90008']",
EfEfFksahPqRsC0iNBseKA,Hilltop Coffee and Kitchen,90043,"['4427 W Slauson Ave', 'Los Angeles, CA 90043']",
C8QyBNN6S5gmqBdE6EXmtQ,Azucanela,90230,"['6000 Sepulveda Blvd', 'Westfield Shopping Center', 'Culver City, CA 90230']",
AEXV1t_2IgvgL0h4Cyg_WA,Millcross Coffee Bar & Kitchen,90232,"['11050 Washington Blvd', 'Culver City, CA 90232']",
