stadium_id,stadium_name,zip_code,stadium_address
xnZ6z5W6GmKbwwnigdIGjQ,BMO Stadium,90037,"['3939 S Figueroa St', 'Los Angeles, CA 90037']"
F9Xh2eJQNRD29hHIUrTzNw,Los Angeles Memorial Coliseum,90037,"['3911 S Figueroa St', 'Los Angeles, CA 90037']"
8K-hGg2RwtWDAd-IkJpl6Q,Los Angeles Football Club,90037,"['3939 S Figueroa St', 'Los Angeles, CA 90037']"
yALdZ_TH79lj3xU2-hml0w,Aspire Athletics,90044,"['Los Angeles, CA 90044']"
ZRUuCLLQVY_teZ4P0yb0pA,Mariachi Garibaldi de Jaime Cuellar,90640,"['2605 W Beverly Blvd', 'Montebello, CA 90640']"
f27qsFlb71awkT6PdPX8Kg,LA Derby Dolls,90058,"['2661 E 46th St', 'Vernon, CA 90058']"
zYocVbSByHfoZ4CtdSFp5g,Angel City FC,90037,"['3939 S Figueroa Blvd', 'Los Angeles, CA 90037']"
mgUuu6OwOra1tphlvvVgmQ,L A Rising Concert,90037,"['3939 S Figeroa St', 'Los Angeles, CA 90037']"
iHfRp6VYvUcY85OuzOlFUQ,LA Weekly  Burgers & Beer,90037,"['Los Angeles, CA 90037']"
9nOTOQ7aCUSpOCXirCo_Rw,Art Design Resources,90746,"['1050 E Dominguez St', 'Stes- \xa0A-B', 'Carson, CA 90746']"
zsCtM2ibksIEQ8ITJwTb3g,California Science Center,90037,"['700 Exposition Park Dr', 'Los Angeles, CA 90037']"
VX_hIdi_N90gUZWmhwMscw,Cage Vs Cons,90037,"['Los Angeles, CA 90037']"
O6gLQwd_oSYvzgCCvfhH4A,Los Angeles Center of Photography,90046,"['Los Angeles, CA 90046']"
MoP5QFBVbme4vkLEDR4AwQ,Rent for Event - LA,90065,"['3370 N San Fernando Rd', 'Ste 104', 'Los Angeles, CA 90065']"
z3Fn__273loUWF5HR7_fvA,Gladiator Entertainment Trailers,90301,"['309 E Hillcrest Blvd', 'Inglewood, CA 90301']"
kJQGW5K5ZvpMPrrL7vz2Xw,Rock and Roll Fantasy Camp,91601,"['5259 Lankershim Blvd', 'Hollywood, CA 91601']"
OrAZSPJ2wikDfN73Opp-6A,McCabe's Guitar Shop,90405,"['3101 Pico Blvd', 'Santa Monica, CA 90405']"
JvzGr2Udph9RNcSpDhjk7Q,Mariachi Romanza,90805,"['5563 Myrtle Ave', 'Long Beach, CA 90805']"
7lH8zw-igZHljxu-41B42w,SoFi Stadium,90301,"['1001 S Stadium Dr', 'Inglewood, CA 90301']"
vCQbkpnApe6B7a8jb77xiQ,Crypto Arena,90015,"['1111 S Figueroa St', 'Los Angeles, CA 90015']"
B7ASPzWkBCb60dyCnIwUYA,USC Trojans Football,90037,"['1664 W Adams Blvd', 'Los Angeles, CA 90037']"
JJXMNF9j2Eq89CPFmYHcBA,Los Angeles Clippers,90015,"['1111 S Figueroa St', 'Los Angeles, CA 90015']"
9_dUIpuCCJobbUKRJWbnng,Los Angeles Kings,90015,"['1111 S Figueroa St', 'Los Angeles, CA 90015']"
jY2W8VzKKqCPMufo5bielg,Los Angeles Lakers,90015,"['1111 S Figueroa St', 'Los Angeles, CA 90015']"
XxhCdY-Du74fTbW_K0jMXw,Kia Forum,90305,"['3900 W Manchester Blvd', 'Inglewood, CA 90305']"
4P_7ggQR_ZQVUaxbJ15s0A,YouTube Theater,90301,"['1011 S Stadium Dr', 'Inglewood, CA 90301']"
hPqLXhhFP_QT_Qe9vvJa2Q,The Los Angeles Rams,90301,"['1001 S Stadium Dr', 'Sofi Stadium', 'Inglewood, CA 90301']"
XckK5-nuHgazclgOv20TFQ,East Los Angeles Youth Recreational Center,90022,"['4401 E Cesar E Chavez Ave', 'Los Angeles, CA 90022']"
iuBBnT6gYgKKap3qjecQ8w,Gardena Cinema,90249,"['14948 Crenshaw Blvd', 'Gardena, CA 90249']"
zYBL_8zo5bmNsfXGt74GJQ,USC Merle Norman Stadium,90007,"['3501 S Figueroa St', 'Los Angeles, CA 90007']"
YoM9vQhD64McCuJJVS_ewQ,Peacock Theater,90015,"['777 Chick Hearn Ct', 'Los Angeles, CA 90015']"
gOmK9zKO3fDyJxd-jbNSAg,Regal LA Live,90015,"['1000 W Olympic Blvd', 'Los Angeles, CA 90015']"
yB-GD9GuRlEAS5ZXoS1szQ,Galen Center,90007,"['3400 S Figueroa St', 'Los Angeles, CA 90007']"
huakwfo2Y7rvo3mMHUNrsw,Dedeaux Field,90089,"['1021 Childs Way', 'Los Angeles, CA 90089']"
TwaBNyHgJ5p3CQGw9x7ifA,LA Live,90015,"['800 W Olympic Blvd', 'Los Angeles, CA 90015']"
VWgQZ_42jywdz-pmPJBOCQ,Rex's Baseball Batting Cage,90047,"['11723 S Western Ave', 'Los Angeles, CA 90047']"
-5jlXpj4yQwh7fnCEVDvCA,The Hollywood Bowl,90068,"['2301 N Highland Ave', 'Los Angeles, CA 90068']"
FTx5J9lQOQAJV9eAmVa6YA,Dodger Stadium,90012,"['1000 Vin Scully Ave', 'Los Angeles, CA 90012']"
7rIawVQKlGJoF7RJmpLpfw,El Capitan Theatre,90028,"['6838 Hollywood Blvd', 'Los Angeles, CA 90028']"
EudxBZP6gdPknFmtNO1ANA,Paramount Theatre,90038,"['5555 Melrose Ave', 'Los Angeles, CA 90038']"
UxIWTC6IortLMW29-KWuZA,Arena Cinelounge - Sunset,90028,"['6464 Sunset Blvd', 'Lobby Level', 'Los Angeles, CA 90028']"
Mo5a7kFlQLykyl2oIOd0CA,Evolve Soccer LA,90039,"['1921 Blake Ave', 'Ste 1', 'Los Angeles, CA 90039']"
O5LpFHHOdyt6DwMJp-KKQw,American Cinematheque,90028,"['6712 Hollywood Blvd', 'Los Angeles, CA 90028']"
y3jjyVbLVXQV5yX_ukdXJA,LA Marathon,90069,"['9200 W Sunset Blvd', 'Ste 550', 'West Hollywood, CA 90069']"
Gc5tn6bsEn9A3LQYfxtk_Q,El Rey Theatre,90036,"['5515 Wilshire Blvd', 'Los Angeles, CA 90036']"
WSOs2JLwc_U2Fy7tofisZQ,AEG Live,90015,"['425 West 11th St', 'Los Angeles, CA 90015']"
32i7au-NzjEYz4n8fyu0mA,The Vermont Hollywood,90029,"['1020 N Vermont Ave', 'Los Angeles, CA 90029']"
vse6csmGLo8F_MFneHv__w,Jordan Hangar,90094,"['12499 West Bluff Creek Dr', 'Los Angeles, CA 90094']"
94tkoK8E3yh-6gZfME2qMA,New Era Team Store,90012,"['1000 Elysian Park Ave', 'Dodger Stadium', 'Los Angeles, CA 90012']"
tMyHOvbaWc_BKPsm3VwQ8Q,Baseline Club 1st Base,90012,"['1000 Elysian Park Ave', 'Los Angeles, CA 90012']"
1WmablTS3V2Vi-aRIQok_w,Lexus Club,90189,"['1111 S Figueroa St', 'Los Angeles, CA 90189']"
1jCkiq1IEAcCTlIhEpIL7Q,The Color Run,90012,"['1000 Elysian Park Ave', 'Los Angeles, CA 90012']"
p61bEn6U4sjJcY4KfDyR6g,McAlister Soccer Field,90007,"['3077 S Hoover St', 'Los Angeles, CA 90007']"
xO9DMIdHDY6NN184uALfNg,The John McKay Center,90089,"['940 W 35th St', 'Los Angeles, CA 90089']"
hURkUN-V6cNRDc8iq1ILdA,Shrine Auditorium and Expo Hall,90007,"['665 W Jefferson Blvd', 'Los Angeles, CA 90007']"
78xBET2ggEk2jYHRftRnUA,AMC Marina Marketplace 6,90292,"['4335 Glencoe Ave', 'Marina Del Rey, CA 90292']"
T67oD4mHHGRTMDyrTwnnJA,CGV Cinemas,90005,"['621 S Western Ave', 'Los Angeles, CA 90005']"
w0pW6DCfJW60U7HOy4efGw,TCL Chinese Theatre,90028,"['6925 Hollywood Blvd', 'Hollywood, CA 90028']"
Lloy0FUqq32tSCtcAVGk4g,Egyptian Theatre,90028,"['6712 Hollywood Blvd', 'Los Angeles, CA 90028']"
p0kAxB2aRlMwqVoKFvEvIg,LA Chinatown Firecracker,90012,"['943 N Broadway', 'Los Angeles, CA 90012']"
Q6xco5uCHgTzo2OkHBYSsw,Los Angeles Dodgers,90012,"['1000 Elysian Park Ave', 'Los Angeles, CA 90012']"
pfimgt4S2vHrOnY8AjlLqA,Los Angeles Marathon,90012,"['1000 Vin Scully Ave', 'Los Angeles, CA 90012']"
95xBVe2OnUGZHO9L72VCBQ,Dodger Stadium - Dugout Club,90012,"['1000 Elysian Park Ave', 'Los Angeles, CA 90012']"
O1eZOdXH6krEuZe5riS4Vg,Dodger Stadium Loge Terrace,90012,"['1000 Vin Scully Ave', 'Los Angeles, CA 90012']"
DtuHQpPhePSZ-KxEYJ6z8w,Subliminal Projects,90026,"['1331 W Sunset Blvd', 'Los Angeles, CA 90026']"
Xx6x8pfPCNwy0gQmvpDcvg,Wine Stop ECPK,90026,"['1288 W Sunset Blvd', 'Los Angeles, CA 90026']"
8XFhBGVW3TwbS2iPpbhnqQ,LA Dodgers Foundation,90012,"['Dodgers Stadium', 'Los Angeles, CA 90012']"
Py9hdau_RXAXXdsdAn53BA,Electric Run,90012,"['1000 Elysian Park Ave', 'Los Angeles, CA 90012']"
